set 	title 'Candlesticks' font ',18'
set 	terminal wxt size 1300,600
set style line 5 lt rgb 'cyan' lw 5 pt 6
set style fill empty
plot '-' with financebars, '-' lw 1 lc rgb 'blue' with lines, '-' lw 1 lc rgb 'orange' with lines, '-' lw 1 lc rgb 'green' with lines
1582056000000 -1.0788096613719298 -1.0311405735530972 -1.1056369036050742 -1.0512517173082723
1582070400000 -1.05211045501669 -1.0449767395022003 -1.0717756347145502 -1.0575663192321088
1582084800000 -1.0575663192321088 -1.0555527992076628 -1.0867825369145325 -1.0832311866298072
1582099200000 -1.0853012746084374 -0.9947929600291125 -1.0906441190189327 -1.0029385385998273
1582128000000 -1.0029385385998273 -0.9306432380985556 -1.011975982008563 -0.9699552564598479
1582142400000 -0.9678472187885572 -0.9675840262617056 -1.0847093834991182 -1.0567028855909
1582156800000 -1.0569906139772902 -1.034511363261586 -1.0936247471570706 -1.0587187250064332
1582171200000 -1.0581423561143963 -0.9689006821464524 -1.0581423561143963 -0.9741847102930576
1582185600000 -0.9712750402069146 -0.9675840262617056 -1.0272222925814367 -0.976571662759085
1582200000000 -0.976571662759085 -0.8703617999857552 -0.9797631548297285 -0.9055981023354119
1582214400000 -0.906092906897709 -0.7954014145987017 -0.941608539858445 -0.8913542465841234
1582228800000 -0.8913542465841234 -0.8212078506274629 -0.8959980286063927 -0.8342500215379457
1582243200000 -0.8342500215379457 -0.7732732250392301 -0.8502689363321577 -0.8196178446138943
1582257600000 -0.8189371866182451 -0.7339691750802004 -0.8189371866182451 -0.753746802688875
1582272000000 -0.7531095217326282 -0.7448616162466241 -0.8301130356331027 -0.8266785731844679
1582286400000 -0.8266785731844679 -0.767224383956261 -0.8432726391375831 -0.8005096988884447
1582300800000 -0.8005096988884447 -0.7931885347401716 -0.8770700187208739 -0.8698843590599994
1582315200000 -0.8717954919876039 -0.8342500215379457 -0.8933068954837797 -0.8722738464573808
1582329600000 -0.8741895558555196 -0.7945156749482342 -0.8763491247812073 -0.8528465593176202
1582344000000 -0.8528465593176202 -0.8328691237350826 -0.8898922580196241 -0.8446679882011876
1582358400000 -0.8469979053782056 -0.8078848580303686 -0.8734707346912269 -0.8083335903690628
1582372800000 -0.8096809968158968 -0.7571525105358577 -0.8230281014144654 -0.7947370363215785
1582387200000 -0.7947370363215785 -0.7925256245402241 -0.8301130356331027 -0.7934096024983396
1582401600000 -0.7938518846815776 -0.7704602836626155 -0.8198448336059029 -0.799619425070462
1582416000000 -0.800287056117849 -0.7927465457827001 -0.837710631751298 -0.8209805520698302
1582430400000 -0.8214352008614761 -0.8051966843685682 -0.8535507020529692 -0.8162191781499395
1582444800000 -0.8175772589381224 -0.8112552690402743 -0.843970070294529 -0.8435050621485073
1582459200000 -0.8414151972290481 -0.8218900564526708 -0.8521429120504033 -0.8479313943608118
1582473600000 -0.8495670998312469 -0.7835096206403366 -0.8584936331479384 -0.7965096935550985
1582488000000 -0.7965096935550985 -0.7616401770052458 -0.8182569916027896 -0.7778339887271393
1582502400000 -0.7776163371863952 -0.7435987240560435 -0.8126066205972733 -0.8121559671421474
1582516800000 -0.8099057411701409 -0.7835096206403366 -0.8370175509796473 -0.8117055166840805
1582531200000 -0.8130574772325029 -0.7550225842780328 -0.8228003887868163 -0.7657178733947807
1582545600000 -0.7655028427520857 -0.6937473606319777 -0.7691646669838612 -0.7260836808062101
1582560000000 -0.7260836808062101 -0.6877617082836074 -0.7878975171057561 -0.7238125948708305
1582574400000 -0.7238125948708305 -0.7009777596751339 -0.7612119114740746 -0.7040059238948213
1582588800000 -0.7033995570242967 -0.7009777596751339 -0.7830718880879323 -0.7590733306761122
1582603200000 -0.7590733306761122 -0.7438090953621733 -0.8196178446138943 -0.807436326962073
1582617600000 -0.8072121368479179 -0.7648580281139458 -0.8486320834003402 -0.8148629392440417
1582632000000 -0.8150888513651878 -0.8067639073469128 -0.8972236691569293 -0.8869746775401021
1582646400000 -0.8869746775401021 -0.8792358239231439 -0.9519179095173061 -0.9258361447176865
1582660800000 -0.9258361447176865 -0.8777914327235452 -0.977634362115207 -0.931912112777112
1582675200000 -0.931912112777112 -0.8915981192837836 -0.9977719737420382 -0.9519179095173061
1582689600000 -0.9550315601905857 -0.9225603448877504 -0.9763061642841417 -0.9755100915341263
1582704000000 -0.9755100915341263 -0.9472655361735857 -1.0078579253996456 -1.0048487588559465
1582718400000 -1.0048487588559465 -0.9349639971397764 -1.024990148797496 -1.0205407532479542
1582732800000 -1.0202633222571333 -0.9506234109546604 -1.0838222031954743 -0.9821634760248629
1582747200000 -0.9797631548297285 -0.9749797282228346 -1.0311405735530972 -1.0136279647631123
1582761600000 -1.0139035607411555 -0.941608539858445 -1.0823453162042378 -1.0147308046874075
1582776000000 -1.0141792326932804 -0.9662691016803965 -1.024990148797496 -0.9853728930615988
1582790400000 -0.984837274409265 -0.9467499393588635 -1.0202633222571333 -0.9834994815676051
1582804800000 -0.9834994815676051 -0.9605038865504805 -1.018877320649256 -0.9931717762101128
1582819200000 -0.9942522733438669 -0.9334368907091256 -0.9958752112169974 -0.9452047420387973
1582833600000 -0.9452047420387973 -0.9243229035714193 -1.0002159668119164 -0.9771028712709124
1582848000000 -0.9771028712709124 -0.9560716018859996 -0.9859087987550249 -0.9749797282228346
1582862400000 -0.9736550492637259 -0.9699552564598479 -1.062183932054558 -1.0446924466786793
1582876800000 -1.04412410338404 -1.0342300297388416 -1.0996127890016931 -1.0674043615439166
1582891200000 -1.0671136216087387 -1.0297394243817344 -1.0960156628208437 -1.030019497202498
1582905600000 -1.030019497202498 -1.0133524447172864 -1.0844135692682968 -1.0761660998382796
1582920000000 -1.0764594840269763 -1.0216512475319814 -1.07734015339257 -1.05268335677971
1582934400000 -1.0523968648711466 -1.0197086910726436 -1.0538301458962165 -1.0224849282805588
1582948800000 -1.0224849282805588 -0.9950634130395509 -1.030019497202498 -1.018877320649256
1582963200000 -1.0186003506987251 -1.0086801811675024 -1.0706080922585124 -1.0427046567298137
1582977600000 -1.0444082346545975 -1.04412410338404 -1.091537374996148 -1.067695186033388
1582992000000 -1.0682770888720368 -1.0498221244986778 -1.0861897686695525 -1.0642108619507773
1583006400000 -1.0650808054593173 -1.0604498275737608 -1.1285561650411817 -1.1282470937978004
1583020800000 -1.1282470937978004 -1.082640519158411 -1.1294839523351967 -1.1083596401229898
1583035200000 -1.1062413158326008 -1.1041274693562197 -1.1270117631898076 -1.1095721289044518
1583049600000 -1.1092688688566386 -1.0708998501015738 -1.1129140733789693 -1.071483621279857
1583064000000 -1.0708998501015738 -1.0590070340757503 -1.1144368390150812 -1.1071486196903961
1583078400000 -1.1092688688566386 -1.1059390640545705 -1.1776554960085626 -1.1453894802270386
1583092800000 -1.1450751630784506 -1.1369374029897776 -1.1757093390530766 -1.1403722229163413
1583107200000 -1.1406850650900175 -1.1301029557594804 -1.165393322358461 -1.1307223425863433
1583121600000 -1.132272490160745 -1.1089657007476013 -1.1363141558521213 -1.132582808239263
1583136000000 -1.132582808239263 -1.0564152399683213 -1.132582808239263 -1.0720677334459974
1583150400000 -1.0708998501015738 -1.0040296461821618 -1.081165375064389 -1.0048487588559465
1583164800000 -1.0048487588559465 -0.9532140859787529 -1.0048487588559465 -0.9802960618500675
1583179200000 -0.9802960618500675 -0.9393035061832279 -0.9985859746009853 -0.9829648651421479
1583193600000 -0.9829648651421479 -0.9829648651421479 -1.0339487753423875 -1.0100521116886294
1583208000000 -1.0106014113453965 -0.995333939214608 -1.0356374895067213 -1.0328245481301066
1583222400000 -1.0333865037504022 -0.967320902986934 -1.0359192193296862 -0.9718034418044138
1583236800000 -0.9704829609575819 -0.9470077045362155 -1.0128016322549989 -0.9904756300635316
