ut,tt,oix,order,reason,price,stop,target,qty,pnl,capital
0,0000-01-01T00:00:00.0,0,init,init,0.0,0.0,0.0,0.0,0.0,10000.0
1622769300,2021-06-04T01:15:00.0,4396,long,enter,38080.392349999995,36045.126625,41694.4156,0.05006951212955833,0.0,10000.0
1622808420,2021-06-04T12:07:00.0,5048,long,exit,35840.923200000005,0.0,0.0,0.05006951212955833,-112.12912776969618,9887.870872230304
1622886600,2021-06-05T09:50:00.0,6351,long,enter,36798.70194,34831.93815,40291.086240000004,0.05181342183687543,0.0,9887.870872230304
1623098880,2021-06-07T20:48:00.0,9889,long,exit,34657.957350000004,0.0,0.0,0.05181342183687543,-110.91930248667866,9776.951569743625
1623112500,2021-06-08T00:35:00.0,10116,long,enter,33400.657289999996,31615.507275,36570.54984000001,0.057084704953920554,0.0,9776.951569743625
1623161940,2021-06-08T14:19:00.0,10940,long,exit,31571.397,0.0,0.0,0.057084704953920554,-104.42278393857285,9672.528785805052
1623346200,2021-06-10T17:30:00.0,14011,long,enter,36230.21401999999,34293.83395,39668.64592,0.052626425712366524,0.0,9672.528785805052
