dt,S1,S2,lret1,lret2,ratio,rma1,rma2,rstd2,zscore,sig,absZ,zsign,pos,count_S1,count_S1,count_S2,pnl_S1,pnl_S2,pnl
2022-07-21,0.499341,26.2911,-0.7015869008377085,8.343484177407056,0.018992777023403355,,,,,0,,0,,0.0,0.0,0.0,,,0.0
2022-07-22,0.48275199999999996,24.8968,-0.6951412528795778,7.615492441083705,0.019390122425371935,,,,,0,,0,,0.0,0.0,0.0,,,0.0
2022-07-23,0.516884,25.5634,-0.7097595991201351,7.951935682575531,0.0202196890867412,,,,,0,,0,,0.0,0.0,0.0,,,0.0
2022-07-24,0.5120300000000001,25.5462,-0.7758773252333013,7.881803757266929,0.020043294110278637,,,,,0,,0,,0.0,0.0,0.0,,,0.0
2022-07-25,0.47511299999999995,23.2592,-0.7097891098784251,7.177683069383266,0.020426884845566484,0.01981455349827232,,,,0,,0,,0.0,0.0,0.0,,,0.0
2022-07-26,0.467775,25.1695,-0.6285586675661848,7.998695134414711,0.01858499374242635,0.01973299684207692,,,,0,,0,,0.0,0.0,0.0,,,0.0
2022-07-27,0.510909,32.9248,-0.6724540765469794,10.207237020232979,0.015517451890368354,0.018958462735076204,,,,0,,0,,0.0,0.0,0.0,,,0.0
2022-07-28,0.512769,40.8702,-0.7635447444559312,11.696495296576286,0.012546280664151388,0.017423781050558244,,,,0,,0,,0.0,0.0,0.0,,,0.0
2022-07-29,0.521902,40.5114,-0.7813725011485283,10.918334140484495,0.0128828428541102,0.015991690799324554,,,,0,,0,,0.0,0.0,0.0,,,0.0
2022-07-30,0.526343,39.4442,-0.8094154584282248,10.65603434185976,0.01334398973740119,0.014575111777691496,,,,0,,0,,0.0,0.0,0.0,,,0.0
2022-07-31,0.516164,36.3514,-0.8042415716959951,9.89184153206523,0.014199288060432335,0.013697970641292693,,,,0,,0,,0.0,0.0,0.0,,,0.0
2022-08-01,0.512359,34.9505,-0.7747394355657059,9.726756585517919,0.014659561379665528,0.013526392539152129,,,,0,,0,,0.0,0.0,0.0,,,0.0
2022-08-02,0.49631899999999995,36.5153,-0.7421817505440645,10.274617533468415,0.013592083318499367,0.013735553070021722,,,,0,,0,,0.0,0.0,0.0,,,0.0
2022-08-03,0.5004339999999999,35.9557,-0.714358297618653,9.993992461834193,0.01391807140453391,0.013942598780106466,,,,0,,0,,0.0,0.0,0.0,,,0.0
2022-08-04,0.499445,34.7976,-0.7214498751419465,9.713792872393372,0.014352857668344942,0.014144372366295215,,,,0,,0,,0.0,0.0,0.0,,,0.0
2022-08-05,0.517299,38.3156,-0.7451108250940853,10.794499885153373,0.013501002202758143,0.014004715194760379,,,,0,,0,,0.0,0.0,0.0,,,0.0
2022-08-06,0.511377,37.823,-0.7758313447808081,10.374240875047269,0.013520265446950267,0.013776856008217325,,,,0,,0,,0.0,0.0,0.0,,,0.0
2022-08-07,0.5273829999999999,37.7207,-0.7863780242969971,10.383032703826032,0.013981262277741397,0.013854691800065733,,,,0,,0,,0.0,0.0,0.0,,,0.0
2022-08-08,0.537053,38.0556,-0.8393705796531172,10.483032750647151,0.014112325124291827,0.013893542544017316,,,,0,,0,,0.0,0.0,0.0,,,0.0
2022-08-09,0.512628,36.392,-0.8246135231319287,10.000417009451532,0.014086282699494393,0.013840227550247206,0.01559356629812656,0.002791824379811983,-0.6280261611575416,0,0.6280261611575416,-1,,0.0,0.0,0.0,,,0.0
2022-08-10,0.5373669999999999,38.8111,-0.8041950093364791,10.797810763797205,0.013845703935214407,0.013909167896738458,0.015336212643717113,0.002697632053278431,-0.5289990327792733,0,0.5289990327792733,-1,,0.0,0.0,0.0,,,0.0
2022-08-11,0.530351,42.0872,-0.853925630911759,11.503301081001727,0.012601242182896462,0.013725363243927697,0.01499676863159334,0.002585471445954348,-0.4917499242372579,0,0.4917499242372579,-1,,0.0,0.0,0.0,,,0.0
2022-08-12,0.540179,43.3382,-0.8517268663117635,11.588548302020609,0.012464269397436903,0.013421964667866798,0.014608997647128124,0.002329851101198921,-0.5094887731883334,0,0.5094887731883334,-1,,0.0,0.0,0.0,,,0.0
2022-08-13,0.559325,43.5345,-0.9082093362463238,11.550570955337312,0.012847856297878693,0.013169070902584174,0.014249225756508128,0.0019750715038144677,-0.546894050082665,0,0.546894050082665,-1,,0.0,0.0,0.0,,,0.0
2022-08-14,0.5696209999999999,41.5346,-0.9803733270039592,11.00675994105712,0.013714373076904556,0.013094688978066205,0.01391360016807503,0.0013374552882728552,-0.6122905170656877,0,0.6122905170656877,-1,,0.0,0.0,0.0,,,0.0
2022-08-15,0.549971,41.9352,-0.9772327386493431,11.25315933144842,0.013114781853907933,0.012948504561804908,0.013640089573649108,0.0007714299156946714,-0.8964975272205118,0,0.8964975272205118,-1,,0.0,0.0,0.0,,,0.0
2022-08-16,0.557001,39.8999,-0.9316115875443309,10.679485808366044,0.013959959799397991,0.013220248085105215,0.013562214969100591,0.0006392230808261454,-0.5349726789486555,0,0.5349726789486555,-1,,0.0,0.0,0.0,,,0.0
2022-08-17,0.5384500000000001,40.3001,-0.920131266775165,10.932179424478964,0.01336100902975427,0.013399596011568687,0.013602951387380737,0.0005955399583008339,-0.34146386481312563,0,0.34146386481312563,-1,,0.0,0.0,0.0,,,0.0
2022-08-18,0.511962,39.5677,-0.8269981472406349,10.704521409907107,0.012938887021484696,0.01341780215628989,0.013605753595749458,0.0005920951706776117,-0.3174345084498338,0,0.3174345084498338,-1,,0.0,0.0,0.0,,,0.0
2022-08-19,0.449967,32.9564,-0.672089205772537,8.960381283402697,0.013653402677476908,0.01340560807640436,0.013621224242753246,0.0005889294672598763,-0.3661154320433102,0,0.3661154320433102,-1,,0.0,0.0,0.0,,,0.0
2022-08-20,0.45081899999999997,32.7524,-0.5645250535633097,9.370718729236447,0.013764456955826137,0.013535543096788,0.013599482687522937,0.0005743107704041006,-0.1113327383533966,0,0.1113327383533966,-1,,0.0,0.0,0.0,,,0.0
2022-08-21,0.462518,33.6562,-0.5805499970112578,9.646440006212357,0.013742430815124702,0.013492037299933344,0.013553626159295895,0.0005191813023288754,-0.11862688252886602,0,0.11862688252886602,-1,,0.0,0.0,0.0,,,0.0
2022-08-22,0.46153000000000005,34.1006,-0.5985580004362017,9.698147515536029,0.013534365964235235,0.013526708686829536,0.013550740291582689,0.0005191166944380185,-0.04629326124671982,0,0.04629326124671982,-1,,0.0,0.0,0.0,,,0.0
2022-08-23,0.465696,34.3184,-0.6022905433611436,9.72381331785244,0.013569863396894961,0.01365290396191159,0.01353332989120074,0.0005119381033837286,0.23357134372399194,0,0.23357134372399194,1,,0.0,0.0,0.0,,,0.0
2022-08-24,0.4576,35.299,-0.5987787178539921,9.983647697804772,0.012963540043627299,0.013514931435141667,0.01346386400996486,0.000488610076591903,0.10451570203587845,0,0.10451570203587845,1,,0.0,0.0,0.0,,,0.0
2022-08-25,0.464644,37.0933,-0.5943564466600845,10.408196685825056,0.01252635920772754,0.013267311885521948,0.013415131860213328,0.0005314377664442463,-0.2781510536603688,0,0.2781510536603688,-1,,0.0,0.0,0.0,,,0.0
2022-08-26,0.43162000000000006,33.9,-0.5631169551747228,9.3816513201487,0.012732153392330386,0.013065256400963085,0.013375726257482335,0.00055205102636305,-0.5623934051253324,0,0.5623934051253324,-1,,0.0,0.0,0.0,,,0.0
2022-08-27,0.449851,33.0224,-0.5354032404067341,9.37227089774174,0.013622601627985852,0.013082903533713209,0.013357793224994557,0.0005369645720993713,-0.5119326405587837,0,0.5119326405587837,-1,,0.0,0.0,0.0,,,0.0
2022-08-28,0.429233,30.9297,-0.5373211298713183,8.844167552683405,0.01387769684154712,0.01314447022264364,0.013346061810857323,0.0005219657653626369,-0.38621611146015944,0,0.38621611146015944,-1,,0.0,0.0,0.0,,,0.0
2022-08-29,0.45050199999999996,33.5266,-0.5326622904797921,9.769628760400376,0.013437151396204803,0.01323919249315914,0.013313605245692842,0.0004928872359635547,-0.1509731782528929,0,0.1509731782528929,-1,,0.0,0.0,0.0,,,0.0
2022-08-30,0.453351,32.3072,-0.5685416539489745,9.198200568650543,0.014032506685816164,0.013540421988776866,0.013322945383222932,0.000505119278356439,0.4305450511838741,0,0.4305450511838741,1,,0.0,0.0,0.0,,,0.0
2022-08-31,0.44601799999999997,32.4353,-0.5638028271881312,9.333120090999302,0.013751005848566223,0.013744192480024032,0.013380433566506419,0.0004836291886550115,0.7521442502865431,0,0.7521442502865431,1,,0.0,0.0,0.0,,,0.0
2022-09-01,0.457429,32.9017,-0.5665485307641291,9.456556784740215,0.013902898634417066,0.013800251881310274,0.013452365028355426,0.0004456914739267111,0.7805553242691239,0,0.7805553242691239,1,,0.0,0.0,0.0,,,0.0
2022-09-02,0.454323,32.4539,-0.5808764658792157,9.289730642010534,0.013999026311167534,0.013824517775234357,0.013509923529019868,0.00043777698249323327,0.71861760392885,0,0.71861760392885,1,,0.0,0.0,0.0,,,0.0
2022-09-03,0.48037,32.2298,-0.608874959874183,9.261914193820768,0.014904529348615258,0.014117993365716449,0.013569431342605404,0.000536736101895482,1.022033027355156,-1,1.022033027355156,1,-1.0,-208.172866748548,-208.172866748548,-3.102718602039107,,,0.0
2022-09-04,0.50354,32.4369,-0.6867715969879786,9.340026916929741,0.015523678279983598,0.014416227684549938,0.01368987616390919,0.0006803970610715927,1.0675406497152984,-1,1.0675406497152984,1,,-208.172866748548,-208.172866748548,-3.102718602039107,,,0.0
2022-09-05,0.498309,39.6624,-0.7263004209690396,11.399545320302263,0.012563763161079511,0.014178779147052591,0.013620066331993263,0.0007216056703419333,0.7742633380286245,0,0.7742633380286245,1,,-208.172866748548,-208.172866748548,-3.102718602039107,,,0.0
2022-09-06,0.462445,34.4139,-0.6639222122750349,9.350577655888573,0.013437738820650958,0.014085747184299372,0.013623902821538098,0.0007203587698403215,0.6411310337259425,0,0.6411310337259425,1,,-208.172866748548,-208.172866748548,-3.102718602039107,,,0.0
2022-09-07,0.478724,37.2387,-0.6207298211222723,10.523983367102131,0.012855550811387078,0.01385705208434328,0.013619736011033218,0.0007247572845049215,0.32744213598649374,0,0.32744213598649374,1,,0.0,0.0,0.0,0.34265253866811757,-15.541207205753695,-15.198554667085578
2022-09-08,0.479151,37.1016,-0.6504626722760197,10.256573166215443,0.012914564331457405,0.013459059080911712,0.013582794093732243,0.0007415853876230625,-0.16685201041666653,0,0.16685201041666653,-1,,0.0,0.0,0.0,0.25376272456648535,-15.115824485414121,-14.862061760847636
